Hour,Temperature,Apparent Temperature,Wind,Relative Humidity,Date
23:51,-9°C,-15°C,350°15 Km/h,48%,2016-01-04
00:51,-11°C,-20°C,360°22 Km/h,57%,2016-01-05
01:51,-11°C,-17°C,20°13 Km/h,57%,2016-01-05
02:51,-11°C,-15°C,"Variable à 7 Km/h, 33 km/h Rafales de Vent",57%,2016-01-05
03:51,-11°C,-17°C,"Variable à 11 Km/h, 37 km/h Rafales de Vent",52%,2016-01-05
04:51,-11°C,-15°C,"Variable à 7 Km/h, 37 km/h Rafales de Vent",52%,2016-01-05
05:51,-12°C,-20°C,30°17 Km/h,56%,2016-01-05
06:51,-12°C,-12°C,Calme,56%,2016-01-05
07:51,-11°C,-16°C,Variable à 9 Km/h,52%,2016-01-05
08:51,-11°C,-19°C,350°20 Km/h,48%,2016-01-05
09:51,-8°C,-8°C,Calme,41%,2016-01-05
10:51,-7°C,-12°C,"Variable à 11 Km/h, 26 km/h Rafales de Vent",35%,2016-01-05
11:51,-6°C,-12°C,40°17 Km/h,30%,2016-01-05
12:51,-4°C,-8°C,Variable à 11 Km/h,26%,2016-01-05
13:51,-3°C,-7°C,Variable à 9 Km/h,24%,2016-01-05
14:51,-2°C,-5°C,300°7 Km/h,24%,2016-01-05
15:51,-2°C,-2°C,Calme,26%,2016-01-05
16:51,-2°C,-2°C,Calme,24%,2016-01-05
17:51,-3°C,-3°C,Calme,28%,2016-01-05
18:51,-3°C,-3°C,Calme,28%,2016-01-05
19:51,-2°C,-2°C,Calme,26%,2016-01-05
20:51,-2°C,-4°C,290°6 Km/h,26%,2016-01-05
21:51,-2°C,-4°C,Variable à 6 Km/h,29%,2016-01-05
22:51,-2°C,-2°C,Calme,29%,2016-01-05
23:51,-3°C,-5°C,280°6 Km/h,33%,2016-01-05
00:51,-2°C,-4°C,290°6 Km/h,31%,2016-01-06
01:51,-3°C,-3°C,Calme,36%,2016-01-06
02:51,-3°C,-3°C,Calme,39%,2016-01-06
03:51,-3°C,-5°C,320°6 Km/h,43%,2016-01-06
04:51,-4°C,-4°C,Calme,50%,2016-01-06
05:51,-3°C,-5°C,290°6 Km/h,46%,2016-01-06
06:51,-3°C,-3°C,Calme,46%,2016-01-06
07:51,-3°C,-3°C,Calme,43%,2016-01-06
08:51,-1°C,-3°C,Variable à 6 Km/h,31%,2016-01-06
09:51,-1°C,-5°C,Variable à 11 Km/h,31%,2016-01-06
10:51,1°C,-2°C,250°11 Km/h,25%,2016-01-06
11:51,2°C,2°C,Calme,23%,2016-01-06
12:51,3°C,3°C,Calme,22%,2016-01-06
13:51,4°C,2°C,Variable à 7 Km/h,18%,2016-01-06
14:51,4°C,2°C,240°7 Km/h,18%,2016-01-06
15:51,4°C,3°C,210°6 Km/h,20%,2016-01-06
16:51,3°C,2°C,240°6 Km/h,23%,2016-01-06
17:51,3°C,0°C,230°13 Km/h,28%,2016-01-06
18:51,3°C,0°C,Variable à 9 Km/h,23%,2016-01-06
19:51,2°C,-1°C,240°11 Km/h,30%,2016-01-06
20:51,3°C,-1°C,260°15 Km/h,23%,2016-01-06
21:51,2°C,-1°C,270°9 Km/h,27%,2016-01-06
22:51,2°C,-1°C,270°9 Km/h,32%,2016-01-06
23:51,1°C,1°C,Calme,32%,2016-01-06
00:51,2°C,-1°C,260°11 Km/h,25%,2016-01-07
01:51,1°C,-2°C,260°9 Km/h,29%,2016-01-07
02:51,1°C,1°C,Calme,29%,2016-01-07
03:51,1°C,1°C,Calme,32%,2016-01-07
04:51,0°C,-3°C,280°7 Km/h,37%,2016-01-07
05:51,0°C,-3°C,290°9 Km/h,37%,2016-01-07
06:51,-1°C,-3°C,Variable à 6 Km/h,37%,2016-01-07
07:51,0°C,0°C,Calme,37%,2016-01-07
08:51,2°C,0°C,Variable à 6 Km/h,30%,2016-01-07
09:51,3°C,3°C,Calme,26%,2016-01-07
10:51,6°C,5°C,60°6 Km/h,22%,2016-01-07
11:51,6°C,6°C,Calme,24%,2016-01-07
12:51,7°C,6°C,270°6 Km/h,25%,2016-01-07
13:00,7°C,6°C,Variable à 6 Km/h,23%,2016-01-07
13:33,7°C,6°C,300°6 Km/h,25%,2016-01-07
13:51,7°C,7°C,Calme,25%,2016-01-07
14:51,7°C,7°C,Calme,23%,2016-01-07
15:23,8°C,8°C,Calme,29%,2016-01-07
15:44,7°C,7°C,Calme,27%,2016-01-07
15:51,8°C,8°C,Calme,25%,2016-01-07
16:51,7°C,6°C,290°6 Km/h,34%,2016-01-07
17:51,7°C,6°C,280°6 Km/h,39%,2016-01-07
18:51,7°C,6°C,290°7 Km/h,34%,2016-01-07
19:51,6°C,6°C,Calme,39%,2016-01-07
20:51,6°C,5°C,300°6 Km/h,39%,2016-01-07
21:51,6°C,5°C,310°6 Km/h,39%,2016-01-07
22:51,4°C,3°C,60°6 Km/h,45%,2016-01-07
00:51,3°C,3°C,Calme,52%,2016-01-08
01:51,3°C,3°C,Calme,52%,2016-01-08
02:51,3°C,3°C,Calme,52%,2016-01-08
03:51,2°C,2°C,Calme,52%,2016-01-08
04:51,2°C,2°C,Calme,48%,2016-01-08
05:51,2°C,2°C,Calme,48%,2016-01-08
06:51,2°C,2°C,Calme,56%,2016-01-08
07:51,2°C,2°C,Calme,65%,2016-01-08
09:51,4°C,4°C,Calme,70%,2016-01-08
10:51,5°C,5°C,Calme,66%,2016-01-08
12:51,6°C,6°C,Calme,71%,2016-01-08
13:51,6°C,6°C,Calme,66%,2016-01-08
14:28,6°C,3°C,80°17 Km/h,61%,2016-01-08
14:51,6°C,4°C,Variable à 11 Km/h,61%,2016-01-08
15:51,6°C,4°C,50°9 Km/h,71%,2016-01-08
16:51,7°C,5°C,50°9 Km/h,66%,2016-01-08
17:28,7°C,5°C,80°13 Km/h,66%,2016-01-08
17:51,7°C,5°C,130°9 Km/h,66%,2016-01-08
18:36,7°C,4°C,130°15 Km/h,57%,2016-01-08
18:51,7°C,7°C,Calme,57%,2016-01-08
19:51,7°C,5°C,90°11 Km/h,57%,2016-01-08
20:51,7°C,5°C,Variable à 9 Km/h,57%,2016-01-08
21:10,6°C,3°C,70°15 Km/h,66%,2016-01-08
21:42,6°C,3°C,70°17 Km/h,71%,2016-01-08
21:51,6°C,3°C,60°17 Km/h,71%,2016-01-08
22:51,6°C,3°C,80°15 Km/h,71%,2016-01-08
23:18,6°C,3°C,60°17 Km/h,71%,2016-01-08
23:51,5°C,1°C,80°19 Km/h,70%,2016-01-08
00:51,5°C,2°C,60°15 Km/h,70%,2016-01-09
01:51,5°C,1°C,70°20 Km/h,76%,2016-01-09
02:51,5°C,2°C,80°13 Km/h,76%,2016-01-09
03:51,4°C,1°C,80°15 Km/h,81%,2016-01-09
04:51,5°C,2°C,Variable à 11 Km/h,76%,2016-01-09
05:51,5°C,2°C,80°17 Km/h,76%,2016-01-09
06:51,5°C,2°C,60°15 Km/h,81%,2016-01-09
07:38,6°C,3°C,90°13 Km/h,76%,2016-01-09
07:51,6°C,3°C,80°13 Km/h,76%,2016-01-09
08:51,6°C,3°C,70°19 Km/h,76%,2016-01-09
09:51,7°C,4°C,70°15 Km/h,76%,2016-01-09
10:07,7°C,5°C,80°11 Km/h,76%,2016-01-09
10:16,7°C,5°C,Variable à 11 Km/h,76%,2016-01-09
10:51,7°C,4°C,80°15 Km/h,76%,2016-01-09
11:26,8°C,5°C,80°15 Km/h,71%,2016-01-09
11:51,8°C,7°C,Variable à 7 Km/h,71%,2016-01-09
12:51,8°C,6°C,50°9 Km/h,76%,2016-01-09
13:51,8°C,6°C,60°13 Km/h,76%,2016-01-09
14:00,8°C,5°C,70°17 Km/h,76%,2016-01-09
14:44,8°C,5°C,60°19 Km/h,76%,2016-01-09
14:51,8°C,5°C,60°15 Km/h,76%,2016-01-09
15:51,7°C,5°C,90°13 Km/h,81%,2016-01-09
16:51,7°C,5°C,100°13 Km/h,81%,2016-01-09
17:51,8°C,6°C,80°9 Km/h,76%,2016-01-09
18:01,8°C,6°C,Variable à 9 Km/h,76%,2016-01-09
18:51,8°C,6°C,110°11 Km/h,76%,2016-01-09
19:26,8°C,6°C,Variable à 11 Km/h,76%,2016-01-09
19:51,8°C,5°C,100°17 Km/h,76%,2016-01-09
20:51,8°C,6°C,90°9 Km/h,76%,2016-01-09
21:51,8°C,6°C,60°11 Km/h,82%,2016-01-09
22:51,8°C,6°C,Variable à 11 Km/h,82%,2016-01-09
23:51,8°C,6°C,70°9 Km/h,87%,2016-01-09
00:51,8°C,5°C,70°17 Km/h,87%,2016-01-10
01:51,8°C,5°C,70°19 Km/h,87%,2016-01-10
02:51,8°C,4°C,70°24 Km/h,87%,2016-01-10
03:51,7°C,4°C,70°17 Km/h,93%,2016-01-10
04:12,7°C,4°C,70°15 Km/h,93%,2016-01-10
04:41,7°C,3°C,70°24 Km/h,93%,2016-01-10
04:51,7°C,3°C,70°28 Km/h,93%,2016-01-10
05:02,7°C,3°C,70°28 Km/h,93%,2016-01-10
05:37,7°C,3°C,70°30 Km/h,93%,2016-01-10
05:51,7°C,4°C,70°19 Km/h,93%,2016-01-10
06:01,7°C,3°C,70°22 Km/h,93%,2016-01-10
06:29,7°C,3°C,70°22 Km/h,93%,2016-01-10
06:51,8°C,5°C,80°17 Km/h,87%,2016-01-10
07:51,9°C,6°C,80°19 Km/h,87%,2016-01-10
08:13,9°C,8°C,30°7 Km/h,94%,2016-01-10
08:21,9°C,8°C,60°7 Km/h,94%,2016-01-10
08:42,10°C,8°C,290°11 Km/h,88%,2016-01-10
08:51,10°C,9°C,Variable à 7 Km/h,94%,2016-01-10
09:51,14°C,14°C,Variable à 9 Km/h,94%,2016-01-10
10:51,14°C,14°C,180°13 Km/h,94%,2016-01-10
11:05,14°C,14°C,Variable à 11 Km/h,94%,2016-01-10
11:31,14°C,14°C,170°15 Km/h,94%,2016-01-10
11:51,14°C,14°C,190°13 Km/h,94%,2016-01-10
12:04,14°C,14°C,170°13 Km/h,94%,2016-01-10
12:12,14°C,14°C,Variable à 9 Km/h,94%,2016-01-10
12:18,14°C,14°C,170°11 Km/h,94%,2016-01-10
12:51,14°C,14°C,170°13 Km/h,94%,2016-01-10
13:51,15°C,15°C,170°11 Km/h,88%,2016-01-10
14:12,15°C,15°C,170°11 Km/h,88%,2016-01-10
14:51,14°C,14°C,"Variable à 6 Km/h, 31 km/h Rafales de Vent",88%,2016-01-10
15:08,14°C,14°C,180°13 Km/h,88%,2016-01-10
15:26,14°C,14°C,Variable à 9 Km/h,88%,2016-01-10
15:51,14°C,14°C,170°20 Km/h,88%,2016-01-10
16:51,14°C,14°C,260°15 Km/h,63%,2016-01-10
17:51,13°C,13°C,260°13 Km/h,63%,2016-01-10
18:51,13°C,13°C,250°13 Km/h,55%,2016-01-10
19:51,11°C,11°C,270°13 Km/h,58%,2016-01-10
20:51,8°C,6°C,"Variable à 11 Km/h, 33 km/h Rafales de Vent",53%,2016-01-10
21:51,6°C,2°C,290°24 Km/h,49%,2016-01-10
22:51,5°C,1°C,280°24 Km/h,53%,2016-01-10
23:51,5°C,1°C,290°20 Km/h,49%,2016-01-10
00:51,4°C,1°C,"Variable à 11 Km/h, 37 km/h Rafales de Vent",45%,2016-01-11
01:51,4°C,0°C,290°20 Km/h,42%,2016-01-11
02:51,2°C,-3°C,280°20 Km/h,48%,2016-01-11
03:51,1°C,-3°C,270°15 Km/h,48%,2016-01-11
04:51,1°C,-4°C,290°20 Km/h,41%,2016-01-11
05:51,0°C,0°C,Calme,40%,2016-01-11
06:51,-1°C,-4°C,260°9 Km/h,51%,2016-01-11
07:51,-1°C,-6°C,300°17 Km/h,40%,2016-01-11
08:51,-1°C,-7°C,280°20 Km/h,40%,2016-01-11
09:51,-1°C,-4°C,"Variable à 7 Km/h, 30 km/h Rafales de Vent",37%,2016-01-11
10:51,-1°C,-7°C,290°20 Km/h,37%,2016-01-11
11:51,0°C,-5°C,290°19 Km/h,37%,2016-01-11
12:51,1°C,-4°C,280°19 Km/h,35%,2016-01-11
13:51,1°C,-4°C,290°19 Km/h,32%,2016-01-11
14:51,1°C,-3°C,290°15 Km/h,29%,2016-01-11
15:51,1°C,-4°C,290°19 Km/h,25%,2016-01-11
16:51,0°C,-5°C,280°17 Km/h,29%,2016-01-11
17:51,-1°C,-7°C,290°24 Km/h,31%,2016-01-11
18:51,-2°C,-8°C,290°19 Km/h,31%,2016-01-11
19:51,-2°C,-8°C,290°19 Km/h,31%,2016-01-11
20:51,-2°C,-7°C,300°17 Km/h,31%,2016-01-11
21:51,-3°C,-3°C,Calme,33%,2016-01-11
22:51,-3°C,-8°C,320°13 Km/h,33%,2016-01-11
23:51,-3°C,-7°C,320°11 Km/h,33%,2016-01-11
00:51,-4°C,-8°C,Variable à 9 Km/h,39%,2016-01-12
